user_id,product_id,rank,predicted_score
USER-100555,PROD-16202,1,0.2769617830263799
USER-100555,PROD-79726,2,0.21449172057162058
USER-100555,PROD-84160,3,0.1329669128696016
USER-100555,PROD-28928,4,0.10036375549262073
USER-100555,PROD-71962,5,0.0934550199540719
USER-100555,PROD-19970,6,0.07423259626085184
USER-100555,PROD-52194,7,0.04176204177202042
USER-100555,PROD-24762,8,0.008289895947512418
USER-100555,PROD-58410,9,6.226905445189949e-05
USER-100555,PROD-52987,10,1.5775938385493476e-05
USER-101181,PROD-70722,1,2.051159854414676e-12
USER-101181,PROD-52987,2,8.144006374305864e-13
USER-101181,PROD-51088,3,2.9476473026395914e-16
USER-101181,PROD-74321,4,2.4814615290650506e-16
USER-101181,PROD-69305,5,6.407660618957447e-17
USER-101181,PROD-50780,6,2.770425620248634e-17
USER-101181,PROD-57354,7,2.5316517166194043e-17
USER-101181,PROD-13656,8,2.3255393969337192e-17
USER-101181,PROD-56991,9,1.982725430616291e-17
USER-101181,PROD-58421,10,1.936463250643223e-17
USER-102214,PROD-38773,1,5.454683823416768e-09
USER-102214,PROD-16001,2,3.663474123186983e-09
USER-102214,PROD-58410,3,3.381528943803095e-09
USER-102214,PROD-80439,4,3.3644335629662828e-09
USER-102214,PROD-31917,5,2.994801653793031e-09
USER-102214,PROD-48453,6,2.921407670047818e-09
USER-102214,PROD-18506,7,2.819596656793453e-09
USER-102214,PROD-33776,8,2.4480920081588776e-09
USER-102214,PROD-11193,9,2.0276270717724288e-09
USER-102214,PROD-87971,10,1.274900581064873e-09
USER-102943,PROD-79994,1,3.4930740624787773e-12
USER-102943,PROD-15539,2,2.0834212013983992e-13
USER-102943,PROD-58300,3,1.8251366956793069e-16
USER-102943,PROD-88767,4,1.3538828227187709e-16
USER-102943,PROD-38047,5,1.1958690862354927e-16
USER-102943,PROD-51942,6,1.0133540294386922e-16
USER-102943,PROD-35986,7,8.830541162699147e-17
USER-102943,PROD-53525,8,5.207183805279185e-17
USER-102943,PROD-10974,9,3.57292907088756e-17
USER-102943,PROD-68507,10,2.655625330410617e-17
USER-103185,PROD-89034,1,0.0006613853487099242
USER-103185,PROD-18272,2,0.0003450784526575861
USER-103185,PROD-83861,3,0.00027050403635952625
USER-103185,PROD-57330,4,0.00020509739723081967
USER-103185,PROD-75895,5,0.00016000723786445512
USER-103185,PROD-91781,6,0.00011675318631358596
USER-103185,PROD-20739,7,8.644474634751187e-05
USER-103185,PROD-80406,8,3.5078193783743e-05
USER-103185,PROD-66005,9,2.1975327742663858e-05
USER-103185,PROD-65847,10,1.4090169912054052e-05
USER-103295,PROD-63270,1,1.3199475315406195e-08
USER-103295,PROD-78300,2,1.3199475315406195e-08
USER-103295,PROD-80757,3,9.075818327809762e-09
USER-103295,PROD-54937,4,4.310881885974677e-09
USER-103295,PROD-99768,5,2.743726279421483e-09
USER-103295,PROD-18272,6,3.4833778968084605e-10
USER-103295,PROD-40399,7,2.828934394866687e-13
USER-103295,PROD-88956,8,3.948955359325253e-16
USER-103295,PROD-94232,9,3.639432824124746e-16
USER-103295,PROD-76385,10,3.311354340434157e-16
USER-103703,PROD-41197,1,7.019431659560807e-09
