event_id,user_id,session_id,event_time,page_url,product_id,event_type,device_type,ip_address,traffic_source,referrer,user_agent,country,city,browser,os
38348c1b-7d1f-446f-88ae-124b62197b9f,USER-770487,25a70116-839a-4d51-9a6e-8428e695b4de,2025-11-16 07:59:11,/product/PROD-39256,PROD-39256,view,mobile,129.153.198.180,facebook,https://www.facebook.com,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.0),GD,New Roberttown,Opera,Windows
1a7a2991-bdc8-4682-b8c6-368a56b6abd5,USER-770487,25a70116-839a-4d51-9a6e-8428e695b4de,2025-11-16 08:04:35,/product/PROD-22280,PROD-22280,view,mobile,78.227.234.134,twitter,https://www.twitter.com,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.2.5 (KHTML, like Gecko) Version/5.0 Safari/535.2.5",BW,Davisstad,Opera,Android
ef4d93e5-e909-453a-a422-beaddff00421,USER-770487,25a70116-839a-4d51-9a6e-8428e695b4de,2025-11-16 08:37:32,/product/PROD-95181,PROD-95181,view,mobile,130.199.228.88,linkedin,https://www.linkedin.com,Opera/9.83.(X11; Linux i686; mag-IN) Presto/2.9.177 Version/11.00,FI,North Donnaport,Edge,MacOS
1766b7e8-c9f4-41bf-9560-a47c4e38ea13,USER-770487,25a70116-839a-4d51-9a6e-8428e695b4de,2025-11-16 08:41:28,/product/PROD-10851,PROD-10851,view,mobile,196.238.96.187,instagram,https://www.instagram.com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/57.0.887.0 Safari/534.1",GT,Port Leslieview,Edge,Linux
3b18d5a6-a3f2-424c-819a-4ef6d9cfdcc9,USER-770487,25a70116-839a-4d51-9a6e-8428e695b4de,2025-11-16 07:56:38,/product/PROD-54118,PROD-54118,view,mobile,84.35.174.181,facebook,https://www.facebook.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; rv:1.9.6.20) Gecko/6044-06-15 03:49:06 Firefox/3.6.5,CG,Ryanmouth,Edge,Windows
74e8c033-3a4f-4cd1-8955-21d5f4fc0336,USER-476417,82e57def-bd9d-42f7-9026-1a7f37262a7d,2025-10-17 08:26:16,/cart,PROD-70217,add_to_cart,desktop,80.219.93.184,facebook,https://www.facebook.com,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.33.1 (KHTML, like Gecko) Version/5.0.5 Safari/532.33.1",ML,Johnbury,Edge,Windows
afe7d393-f214-42f3-ae3d-54446e8e3a16,USER-476417,82e57def-bd9d-42f7-9026-1a7f37262a7d,2025-10-17 08:48:29,/product/PROD-91070,PROD-91070,view,desktop,210.133.45.128,email,https://www.email.com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/29.0.867.0 Safari/536.1",LU,New Angelashire,Opera,MacOS
f9c568f1-84b7-4107-bd9b-716abe4847f7,USER-476417,82e57def-bd9d-42f7-9026-1a7f37262a7d,2025-10-17 08:42:26,/cart,PROD-39871,add_to_cart,mobile,113.34.201.165,direct,none,"Mozilla/5.0 (Linux; Android 2.3.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/19.0.884.0 Safari/532.0",ZA,Lake Deniseville,Chrome,MacOS
12dcf6ca-b574-4ec8-9b9b-b6720752a329,USER-476417,82e57def-bd9d-42f7-9026-1a7f37262a7d,2025-10-17 08:33:03,/checkout/success,PROD-69429,purchase,mobile,85.183.34.65,email,https://www.email.com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.831.0 Safari/532.0",DM,Smithfurt,Firefox,Linux
e8262bdb-d999-4564-b9ff-3def30bef82c,USER-476417,82e57def-bd9d-42f7-9026-1a7f37262a7d,2025-10-17 08:33:54,/product/PROD-99593,PROD-99593,view,desktop,123.163.219.109,facebook,https://www.facebook.com,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.1),DE,West Jeff,Opera,MacOS
6a855f2c-3461-4cc3-9a54-41481c9e5923,USER-660086,67bbbb9d-4b27-49c8-86fc-50f925f2026e,2025-10-30 08:36:38,/product/PROD-93886,PROD-93886,view,mobile,67.230.186.146,linkedin,https://www.linkedin.com,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),SC,North Susan,Firefox,Linux
f5cfef0f-3fde-41f0-9018-c44b6bc771a7,USER-660086,67bbbb9d-4b27-49c8-86fc-50f925f2026e,2025-10-30 08:45:46,/cart,,remove_from_cart,desktop,75.228.142.101,google,https://www.google.com/search,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/55.0.891.0 Safari/535.0",PK,Sarahland,Safari,iOS
4295d4cf-7f2a-4137-a5bb-25708e15b580,USER-660086,67bbbb9d-4b27-49c8-86fc-50f925f2026e,2025-10-30 08:49:29,/product/PROD-84341,PROD-84341,view,mobile,70.102.23.197,email,https://www.email.com,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/47.0.890.0 Safari/535.0",IR,Cassandramouth,Firefox,iOS
6fbc10c3-908f-40e8-92cd-41bdf9c501aa,USER-660086,67bbbb9d-4b27-49c8-86fc-50f925f2026e,2025-10-30 07:59:25,/product/PROD-70142,PROD-70142,view,tablet,103.14.81.203,direct,none,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.17.7 (KHTML, like Gecko) Version/4.1 Safari/534.17.7",FM,New Barry,Firefox,MacOS
a6c7b00b-77b8-4063-97a6-ad7605500d28,USER-660086,67bbbb9d-4b27-49c8-86fc-50f925f2026e,2025-10-30 08:18:54,/cart,PROD-86622,add_to_cart,mobile,41.122.94.93,bing,https://www.bing.com,Opera/9.36.(Windows 95; kl-GL) Presto/2.9.188 Version/10.00,KZ,Lake Curtis,Edge,Linux
bf9f625f-4685-4dcb-b69a-903f9b46b0bc,USER-329974,85f9cbcd-ab85-4498-8db8-5d4ba949ec00,2025-11-13 08:48:27,/product/PROD-16175,PROD-16175,view,mobile,189.1.11.39,facebook,https://www.facebook.com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3 rv:4.0; ar-EH) AppleWebKit/532.16.7 (KHTML, like Gecko) Version/4.1 Safari/532.16.7",GN,Port Samantha,Firefox,MacOS
a76c7963-efed-4988-ab17-16204c3c7136,USER-329974,85f9cbcd-ab85-4498-8db8-5d4ba949ec00,2025-11-13 08:15:56,/cart,PROD-18326,add_to_cart,mobile,46.144.236.174,referral,https://www.referral.com,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2672-01-19 07:06:49 Firefox/3.8,MM,Jonesmouth,Opera,iOS
820a2e47-04dc-4da2-aef3-12bfbb6dce2a,USER-329974,85f9cbcd-ab85-4498-8db8-5d4ba949ec00,2025-11-13 08:36:06,/product/PROD-11504,PROD-11504,view,tablet,135.249.220.117,facebook,https://www.facebook.com,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1),LR,Terryside,Opera,Linux
8f69fc29-ed68-48e9-ae66-a2176026dbbb,USER-329974,85f9cbcd-ab85-4498-8db8-5d4ba949ec00,2025-11-13 08:19:20,/cart,PROD-48469,add_to_cart,mobile,90.232.151.191,instagram,https://www.instagram.com,Opera/8.48.(X11; Linux i686; ti-ET) Presto/2.9.172 Version/12.00,JO,South Kristi,Edge,Windows
a8a946f3-81d8-4f31-9d2b-b3fcc0924a0e,USER-329974,85f9cbcd-ab85-4498-8db8-5d4ba949ec00,2025-11-13 08:41:40,/wishlist,,exit,desktop,148.159.187.62,instagram,https://www.instagram.com,Opera/8.94.(Windows NT 5.1; wa-BE) Presto/2.9.176 Version/11.00,BS,Zacharymouth,Opera,Windows
73261b20-2d1e-4d7b-9480-2003e34ddcc5,USER-755674,6862964d-82ce-49e6-af63-fa9302cbd064,2025-10-23 08:00:06,/cart,,remove_from_cart,mobile,79.8.22.75,email,https://www.email.com,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/3.0),AR,East Traceyland,Firefox,Android
0e1258ec-9446-4d54-8e97-2b1875399a53,USER-755674,6862964d-82ce-49e6-af63-fa9302cbd064,2025-10-23 08:11:47,/help,,exit,tablet,22.56.208.61,youtube,https://www.youtube.com,Opera/8.23.(Windows NT 5.01; hr-HR) Presto/2.9.180 Version/12.00,NO,East Linda,Chrome,Windows
d2116071-55e5-4768-9fd4-d18f5283fec7,USER-755674,6862964d-82ce-49e6-af63-fa9302cbd064,2025-10-23 08:06:00,/checkout/success,PROD-50306,purchase,desktop,157.187.47.117,google,https://www.google.com/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/62.0.899.0 Mobile/17R278 Safari/535.0",RU,West Scott,Firefox,Android
82a2148c-eb1f-4dcc-bda0-bbccf1bf96cd,USER-755674,6862964d-82ce-49e6-af63-fa9302cbd064,2025-10-23 08:41:35,/products,,exit,mobile,183.128.248.174,linkedin,https://www.linkedin.com,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0),CU,East Patrick,Firefox,MacOS
3876012c-e38d-4d65-9934-d917007e47b6,USER-755674,6862964d-82ce-49e6-af63-fa9302cbd064,2025-10-23 08:07:45,/cart,PROD-31643,add_to_cart,tablet,107.108.89.218,linkedin,https://www.linkedin.com,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/39.0.868.0 Safari/534.1",RU,South Matthewfurt,Opera,iOS
0c55d078-bbe5-45e9-a29a-d86537857f30,USER-322086,176d8f46-6c36-4649-8fab-f9c4077fef6f,2025-09-22 08:16:54,/cart,PROD-50857,add_to_cart,desktop,190.244.220.47,email,https://www.email.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/9.4k6537.0 Mobile/16B272 Safari/536.0",DE,East Thomas,Edge,Android
4d30d6ed-7e83-4dd6-8ca2-7d51e99962f0,USER-322086,176d8f46-6c36-4649-8fab-f9c4077fef6f,2025-09-22 08:12:44,/product/PROD-18392,PROD-18392,view,mobile,77.243.33.142,google,https://www.google.com/search,Opera/8.30.(X11; Linux x86_64; lv-LV) Presto/2.9.179 Version/12.00,KR,New Anthonyport,Opera,Android
138e06d5-bb54-48db-8146-ef142e0fce30,USER-322086,176d8f46-6c36-4649-8fab-f9c4077fef6f,2025-09-22 08:37:59,/product/PROD-19305,PROD-19305,view,mobile,152.5.7.122,google,https://www.google.com/search,Opera/9.97.(X11; Linux i686; br-FR) Presto/2.9.163 Version/12.00,US,Port Tonyaton,Firefox,Windows
faf5d05d-0b50-4d9f-afe7-5a018b3fc76f,USER-322086,176d8f46-6c36-4649-8fab-f9c4077fef6f,2025-09-22 08:24:45,/checkout/success,PROD-19287,purchase,desktop,59.106.139.154,twitter,https://www.twitter.com,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1),AL,Shortville,Safari,iOS
d54abf09-08a4-4134-bb16-6e19d1b6e869,USER-322086,176d8f46-6c36-4649-8fab-f9c4077fef6f,2025-09-22 08:29:00,/product/PROD-84847,PROD-84847,view,mobile,27.151.11.93,youtube,https://www.youtube.com,Opera/9.88.(X11; Linux i686; nds-DE) Presto/2.9.183 Version/12.00,SO,Marshallshire,Firefox,iOS
d7a88954-d045-48dd-bb90-cddd48dc1a9c,USER-946721,2c138dc6-2493-4bca-b8f6-53fcae204430,2025-10-09 08:13:51,/product/PROD-66498,PROD-66498,view,mobile,121.246.198.43,referral,https://www.referral.com,"Mozilla/5.0 (Linux; Android 4.1.2) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/48.0.801.0 Safari/533.1",RW,Lake Thomas,Edge,iOS
ef6a6f46-52ca-42f4-8fda-f2ffb911077b,USER-946721,2c138dc6-2493-4bca-b8f6-53fcae204430,2025-10-09 08:33:46,/checkout/success,PROD-95649,purchase,mobile,190.87.114.37,facebook,https://www.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/20.0.895.0 Mobile/36L349 Safari/531.1",FM,East Javier,Chrome,iOS
9e194fa8-6362-42d1-9efd-75db7a4329ea,USER-946721,2c138dc6-2493-4bca-b8f6-53fcae204430,2025-10-09 08:06:38,/cart,PROD-24322,add_to_cart,desktop,25.14.83.73,twitter,https://www.twitter.com,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/13.0.873.0 Safari/532.1",QA,Port Cameronfort,Firefox,Android
